user,gender,text
jimmyfallon,0,"In 2000, while on SNL, I made a terrible decision to do an impersonation of Chris Rock while in blackface.  There i… https://t.co/6k9alCsBq7"
jimmyfallon,0,"“Dancing With Myself” ft. @theroots, @BillyIdol, and you at home! https://t.co/3pqy0c5XCO"
jimmyfallon,0,"I’ve always felt like Tom Brady and I had a lot in common, but after watching his golf game, I actually think we mi… https://t.co/LKYZltjSi4"
jimmyfallon,0,Nice. https://t.co/LKspW4wxsk
jimmyfallon,0,"I have to retweet just to have this on my timeline. I love you, Billy. So many hours lip syncing TO you - never EVE… https://t.co/55fQVZJCVk"
jimmyfallon,0,"One of the best father/son life lessons I’ve ever heard. @RedHourBen (Ben Stiller) and his dad, Jerry Stiller. Than… https://t.co/GMHwvaCLau"
jimmyfallon,0,I’m taking my chance. Would you like to dance? #QuaranTune #DancingWithMyself https://t.co/sdzQTlM910
jimmyfallon,0,@questlove Ha haaaa you kept having him play. That was too funny. One more time! One more time!!
jimmyfallon,0,"The Tonight Show: At Home Edition (@BillyIdol, @SofiaVergara, Steve Coogan and @RobBrydon, and music from… https://t.co/RqUzc1zXj0"
jimmyfallon,0,It’s @BillyIdol !!! And @TheRoots !! Dancing With Myself. Stay up for 10 minutes - and have fun. ❤️☘️#NBC #Fallon https://t.co/w9vaSOkvA4
jimmyfallon,0,"Across the country, the children who needed us before the pandemic need help now more than ever. Join us to make su… https://t.co/hzu5ubG7Ai"
jimmyfallon,0,#NAME?
jimmyfallon,0,"The Tonight Show: At Home Edition (@anthonyanderson, Michelle Dockery, and music from @GaryClarkJr)… https://t.co/W8amYbgrRA"
jimmyfallon,0,The great Zoom hacks of Steve Higgins. https://t.co/ucUPcmpko8
jimmyfallon,0,"The Tonight Show: At Home Edition (@RedHourBen, @Hannahgadsby, and music from @TheTimMcGraw) https://t.co/WANfkzp9yd https://t.co/JIRGvLwTut"
jimmyfallon,0,#NAME?
jimmyfallon,0,Tim Williamson’s (no account set up for him) @Netflix special looked promising in February. I’m a big fan of Tim. I… https://t.co/QdkjrUIuWs
